word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,green,0,down,0,0,0,1,8.984884264005814,None,10.340062699004193,None,left,0,2.346993189989007,10.340062699004193,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
red,red,1,left,0,1,1,0,,,13.190134905002196,None,left,1,0.8969896060007159,13.190134905002196,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
green,green,1,down,0,2,2,2,,,14.595745172002353,None,right,0,0.4514067959971726,14.595745172002353,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
blue,blue,1,right,0,3,3,4,,,15.557669729008921,None,down,0,0.049424209995777346,15.557669729008921,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
blue,red,0,left,0,4,4,5,,,16.108902945008595,None,down,0,0.026156427993555553,16.108902945008595,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
green,blue,0,right,0,5,5,3,,,16.642932260001544,None,down,0,0.028179446002468467,16.642932260001544,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
green,blue,0,right,1,0,6,3,,,17.176008597001783,None,down,0,0.07911494100699201,17.176008597001783,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
red,red,1,left,1,1,7,0,,,17.758948473012424,None,down,0,0.16813004499999806,17.758948473012424,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
blue,blue,1,right,1,2,8,4,,,18.4438483450067,None,down,0,0.6271987289946992,18.4438483450067,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
green,green,1,down,1,3,9,2,,,19.57640208900557,None,down,1,3.2230345090065384,19.57640208900557,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
blue,red,0,left,1,4,10,5,,,23.311605086011696,None,right,0,0.10384237300604582,23.311605086011696,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
red,green,0,down,1,5,11,1,,,23.928672004010878,None,down,1,0.3987756470014574,23.928672004010878,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
green,green,1,down,2,0,12,2,,,24.82878855500894,None,down,1,0.3226286079880083,24.82878855500894,None,4,001,2019_Nov_19_1354,stroop,3.2.4,60.44755283343464,
