26.9356 	EXP 	New trial (rep=2, index=0): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
26.9369 	DATA 	Keypress: right
26.9495 	EXP 	target: autoDraw = False
26.9495 	EXP 	target: color = 'red (named)'
26.9495 	EXP 	target: text = 'red'
27.4327 	EXP 	target: autoDraw = True
27.4344 	DATA 	Keypress: left
27.8175 	EXP 	New trial (rep=2, index=1): OrderedDict([('word', 'blue'), ('colour', 'red'), ('congruent', 0), ('corrAns', 'left')])
27.8215 	DATA 	Keypress: left
27.8335 	EXP 	target: autoDraw = False
27.8335 	EXP 	target: color = 'red (named)'
27.8335 	EXP 	target: text = 'blue'
28.3156 	EXP 	target: autoDraw = True
28.5017 	EXP 	New trial (rep=2, index=2): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
28.5030 	DATA 	Keypress: right
28.5158 	EXP 	target: autoDraw = False
28.5158 	EXP 	target: color = 'blue (named)'
28.5158 	EXP 	target: text = 'blue'
28.8352 	DATA 	Keypress: right
29.0001 	EXP 	target: autoDraw = True
29.1532 	EXP 	New trial (rep=2, index=3): OrderedDict([('word', 'green'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
29.1580 	DATA 	Keypress: left
29.1702 	EXP 	target: autoDraw = False
29.1702 	EXP 	target: color = 'blue (named)'
29.1702 	EXP 	target: text = 'green'
29.6509 	EXP 	target: autoDraw = True
29.8688 	EXP 	New trial (rep=2, index=4): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
29.8706 	DATA 	Keypress: down
29.8838 	EXP 	target: autoDraw = False
29.8838 	EXP 	target: color = 'green (named)'
29.8838 	EXP 	target: text = 'green'
30.3359 	DATA 	Keypress: down
30.3676 	EXP 	target: autoDraw = True
30.6020 	EXP 	New trial (rep=2, index=5): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
30.6064 	DATA 	Keypress: down
30.6190 	EXP 	target: autoDraw = False
30.6190 	EXP 	target: color = 'green (named)'
30.6190 	EXP 	target: text = 'red'
30.8527 	DATA 	Keypress: down
31.0689 	DATA 	Keypress: down
31.1009 	EXP 	target: autoDraw = True
31.3195 	DATA 	Keypress: down
31.3363 	EXP 	New trial (rep=3, index=0): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
31.3522 	EXP 	target: autoDraw = False
31.3522 	EXP 	target: color = 'green (named)'
31.3522 	EXP 	target: text = 'green'
31.5856 	DATA 	Keypress: down
31.8191 	DATA 	Keypress: down
31.8353 	EXP 	target: autoDraw = True
31.9875 	EXP 	New trial (rep=3, index=1): OrderedDict([('word', 'green'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
31.9889 	DATA 	Keypress: down
32.0018 	EXP 	target: autoDraw = False
32.0018 	EXP 	target: color = 'blue (named)'
32.0018 	EXP 	target: text = 'green'
32.4195 	DATA 	Keypress: down
32.4856 	EXP 	target: autoDraw = True
32.7032 	EXP 	New trial (rep=3, index=2): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
32.7069 	DATA 	Keypress: down
32.7213 	EXP 	target: autoDraw = False
32.7213 	EXP 	target: color = 'red (named)'
32.7213 	EXP 	target: text = 'red'
33.0545 	DATA 	Keypress: down
33.2033 	EXP 	target: autoDraw = True
33.3707 	EXP 	New trial (rep=3, index=3): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
33.3744 	DATA 	Keypress: down
33.3863 	EXP 	target: autoDraw = False
33.3863 	EXP 	target: color = 'blue (named)'
33.3863 	EXP 	target: text = 'blue'
33.6368 	DATA 	Keypress: down
33.8687 	EXP 	target: autoDraw = True
33.9048 	EXP 	New trial (rep=3, index=4): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
33.9091 	DATA 	Keypress: down
33.9216 	EXP 	target: autoDraw = False
33.9216 	EXP 	target: color = 'green (named)'
33.9216 	EXP 	target: text = 'red'
34.1201 	DATA 	Keypress: down
34.4029 	EXP 	target: autoDraw = True
34.4045 	DATA 	Keypress: down
34.5210 	EXP 	New trial (rep=3, index=5): OrderedDict([('word', 'blue'), ('colour', 'red'), ('congruent', 0), ('corrAns', 'left')])
34.5253 	DATA 	Keypress: down
34.5382 	EXP 	target: autoDraw = False
34.5382 	EXP 	target: color = 'red (named)'
34.5382 	EXP 	target: text = 'blue'
34.7708 	DATA 	Keypress: down
35.0044 	DATA 	Keypress: down
35.0192 	EXP 	target: autoDraw = True
35.2123 	DATA 	Keypress: down
35.2379 	EXP 	New trial (rep=4, index=0): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
35.2531 	EXP 	target: autoDraw = False
35.2531 	EXP 	target: color = 'blue (named)'
35.2531 	EXP 	target: text = 'blue'
35.4216 	DATA 	Keypress: down
35.6722 	DATA 	Keypress: down
35.7367 	EXP 	target: autoDraw = True
35.8725 	EXP 	New trial (rep=4, index=1): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
35.8764 	DATA 	Keypress: down
35.8886 	EXP 	target: autoDraw = False
35.8886 	EXP 	target: color = 'red (named)'
35.8886 	EXP 	target: text = 'red'
36.0722 	DATA 	Keypress: down
36.3387 	DATA 	Keypress: down
36.3704 	EXP 	target: autoDraw = True
36.5225 	EXP 	New trial (rep=4, index=2): OrderedDict([('word', 'blue'), ('colour', 'red'), ('congruent', 0), ('corrAns', 'left')])
36.5265 	DATA 	Keypress: down
36.5384 	EXP 	target: autoDraw = False
36.5384 	EXP 	target: color = 'red (named)'
36.5384 	EXP 	target: text = 'blue'
36.7721 	DATA 	Keypress: down
36.9886 	DATA 	Keypress: down
37.0209 	EXP 	target: autoDraw = True
37.2219 	EXP 	New trial (rep=4, index=3): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
37.2258 	DATA 	Keypress: down
37.2385 	EXP 	target: autoDraw = False
37.2385 	EXP 	target: color = 'green (named)'
37.2385 	EXP 	target: text = 'red'
37.6730 	DATA 	Keypress: left
37.7209 	EXP 	target: autoDraw = True
38.2230 	EXP 	New trial (rep=4, index=4): OrderedDict([('word', 'green'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
38.2273 	DATA 	Keypress: left
38.2395 	EXP 	target: autoDraw = False
38.2395 	EXP 	target: color = 'blue (named)'
38.2395 	EXP 	target: text = 'green'
38.4059 	DATA 	Keypress: left
38.4563 	DATA 	Keypress: down
38.7208 	EXP 	target: autoDraw = True
38.7225 	DATA 	Keypress: left
38.9058 	EXP 	New trial (rep=4, index=5): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
38.9070 	DATA 	Keypress: left
38.9213 	EXP 	target: autoDraw = False
38.9213 	EXP 	target: color = 'green (named)'
38.9213 	EXP 	target: text = 'green'
39.1229 	DATA 	Keypress: left
39.3236 	DATA 	Keypress: left
39.4054 	EXP 	target: autoDraw = True
39.4907 	DATA 	Keypress: left
39.5056 	EXP 	target: autoDraw = False
39.7771 	EXP 	window1: mouseVisible = True
